,Prediction,Actual
82027,satisfied,dissatisfied
82029,satisfied,dissatisfied
82047,satisfied,dissatisfied
82056,satisfied,satisfied
82064,dissatisfied,satisfied
82109,satisfied,satisfied
82112,satisfied,dissatisfied
82127,satisfied,dissatisfied
82135,satisfied,dissatisfied
82177,dissatisfied,satisfied
82189,satisfied,dissatisfied
82195,satisfied,dissatisfied
82209,dissatisfied,dissatisfied
82212,satisfied,dissatisfied
82224,satisfied,satisfied
82230,satisfied,dissatisfied
82299,satisfied,dissatisfied
82320,dissatisfied,dissatisfied
82337,satisfied,dissatisfied
82338,dissatisfied,dissatisfied
82363,satisfied,satisfied
82424,dissatisfied,satisfied
82431,satisfied,satisfied
82443,satisfied,dissatisfied
82446,dissatisfied,dissatisfied
82449,satisfied,dissatisfied
82451,dissatisfied,dissatisfied
82470,dissatisfied,dissatisfied
82504,dissatisfied,satisfied
82506,satisfied,satisfied
82510,dissatisfied,satisfied
82517,satisfied,satisfied
82522,satisfied,dissatisfied
82526,satisfied,satisfied
82531,dissatisfied,dissatisfied
82540,satisfied,dissatisfied
82546,dissatisfied,dissatisfied
82575,dissatisfied,dissatisfied
82589,satisfied,satisfied
82609,satisfied,dissatisfied
82613,satisfied,dissatisfied
82620,satisfied,satisfied
82625,dissatisfied,satisfied
82640,dissatisfied,dissatisfied
82657,satisfied,dissatisfied
82671,satisfied,dissatisfied
82672,satisfied,dissatisfied
82681,dissatisfied,satisfied
82712,dissatisfied,satisfied
82729,satisfied,satisfied
82753,satisfied,dissatisfied
82767,satisfied,satisfied
82768,satisfied,dissatisfied
82790,dissatisfied,satisfied
82823,dissatisfied,dissatisfied
82832,dissatisfied,dissatisfied
82833,satisfied,dissatisfied
82834,satisfied,satisfied
82871,satisfied,satisfied
82878,satisfied,dissatisfied
82880,satisfied,dissatisfied
82901,dissatisfied,satisfied
82902,satisfied,satisfied
82908,satisfied,dissatisfied
82933,satisfied,dissatisfied
82935,satisfied,dissatisfied
82956,satisfied,satisfied
83024,satisfied,dissatisfied
83027,satisfied,dissatisfied
83066,dissatisfied,dissatisfied
83068,dissatisfied,dissatisfied
83078,dissatisfied,satisfied
83086,satisfied,dissatisfied
83090,satisfied,dissatisfied
83121,satisfied,satisfied
83124,satisfied,dissatisfied
83138,satisfied,dissatisfied
83148,dissatisfied,dissatisfied
83152,satisfied,dissatisfied
83160,satisfied,dissatisfied
83161,dissatisfied,satisfied
83214,dissatisfied,satisfied
83218,satisfied,dissatisfied
83220,satisfied,dissatisfied
83236,dissatisfied,dissatisfied
83237,dissatisfied,dissatisfied
83253,satisfied,dissatisfied
83260,satisfied,dissatisfied
83261,dissatisfied,satisfied
83286,satisfied,dissatisfied
83288,dissatisfied,dissatisfied
83290,dissatisfied,dissatisfied
83294,satisfied,dissatisfied
83297,dissatisfied,satisfied
83313,dissatisfied,satisfied
83319,dissatisfied,satisfied
83323,satisfied,satisfied
83326,satisfied,dissatisfied
83332,dissatisfied,satisfied
83334,satisfied,satisfied
83373,satisfied,dissatisfied
83386,satisfied,dissatisfied
83413,dissatisfied,satisfied
83428,satisfied,dissatisfied
83435,dissatisfied,satisfied
83442,satisfied,satisfied
83449,satisfied,satisfied
83463,satisfied,dissatisfied
83470,dissatisfied,satisfied
83475,satisfied,dissatisfied
83503,satisfied,dissatisfied
83539,satisfied,dissatisfied
83558,dissatisfied,dissatisfied
83581,dissatisfied,dissatisfied
83596,satisfied,dissatisfied
83602,satisfied,satisfied
83620,dissatisfied,satisfied
83659,dissatisfied,dissatisfied
83662,satisfied,satisfied
83680,satisfied,dissatisfied
83682,satisfied,satisfied
83693,satisfied,dissatisfied
83703,dissatisfied,satisfied
83712,dissatisfied,dissatisfied
83721,satisfied,dissatisfied
83730,dissatisfied,satisfied
83738,satisfied,dissatisfied
83742,satisfied,dissatisfied
83748,dissatisfied,dissatisfied
83762,dissatisfied,dissatisfied
83765,dissatisfied,dissatisfied
83799,satisfied,satisfied
83815,dissatisfied,dissatisfied
83817,satisfied,satisfied
83819,satisfied,dissatisfied
83838,dissatisfied,dissatisfied
83844,dissatisfied,dissatisfied
83846,satisfied,dissatisfied
83883,dissatisfied,dissatisfied
83884,satisfied,dissatisfied
83905,satisfied,satisfied
83959,dissatisfied,satisfied
83983,dissatisfied,satisfied
84029,dissatisfied,dissatisfied
84053,satisfied,dissatisfied
84054,satisfied,dissatisfied
84058,satisfied,dissatisfied
84083,dissatisfied,satisfied
84094,satisfied,satisfied
84096,dissatisfied,satisfied
84097,satisfied,satisfied
84100,satisfied,satisfied
84103,satisfied,dissatisfied
84104,satisfied,dissatisfied
84118,dissatisfied,dissatisfied
84174,satisfied,satisfied
84191,dissatisfied,dissatisfied
84223,dissatisfied,dissatisfied
84230,dissatisfied,satisfied
84249,dissatisfied,satisfied
84269,satisfied,satisfied
84303,dissatisfied,dissatisfied
84307,dissatisfied,dissatisfied
84346,dissatisfied,dissatisfied
84359,satisfied,satisfied
84375,dissatisfied,dissatisfied
84398,satisfied,dissatisfied
84432,dissatisfied,dissatisfied
84434,satisfied,dissatisfied
84468,satisfied,dissatisfied
84470,dissatisfied,dissatisfied
84508,satisfied,dissatisfied
84533,satisfied,dissatisfied
84569,dissatisfied,satisfied
84577,satisfied,dissatisfied
84585,dissatisfied,satisfied
84606,dissatisfied,dissatisfied
84608,satisfied,satisfied
84643,dissatisfied,dissatisfied
84670,satisfied,dissatisfied
84680,dissatisfied,dissatisfied
84690,dissatisfied,satisfied
84706,satisfied,dissatisfied
84719,satisfied,dissatisfied
84724,satisfied,dissatisfied
84727,satisfied,satisfied
84743,satisfied,dissatisfied
84747,satisfied,dissatisfied
84763,dissatisfied,satisfied
84769,satisfied,dissatisfied
84789,satisfied,dissatisfied
84926,satisfied,dissatisfied
84940,satisfied,satisfied
84959,satisfied,dissatisfied
84961,dissatisfied,dissatisfied
84983,dissatisfied,satisfied
84998,dissatisfied,satisfied
84999,satisfied,satisfied
85029,dissatisfied,satisfied
85070,dissatisfied,dissatisfied
85071,dissatisfied,dissatisfied
85077,dissatisfied,satisfied
85090,satisfied,satisfied
85109,satisfied,satisfied
85116,dissatisfied,satisfied
85125,dissatisfied,dissatisfied
85144,satisfied,dissatisfied
85151,dissatisfied,satisfied
85160,satisfied,satisfied
85164,satisfied,dissatisfied
85165,dissatisfied,satisfied
85198,satisfied,satisfied
85199,dissatisfied,dissatisfied
85206,satisfied,dissatisfied
85223,dissatisfied,dissatisfied
85224,dissatisfied,dissatisfied
85226,satisfied,satisfied
85236,satisfied,dissatisfied
85252,dissatisfied,dissatisfied
85254,dissatisfied,dissatisfied
85261,satisfied,dissatisfied
85279,dissatisfied,satisfied
85322,satisfied,dissatisfied
85327,dissatisfied,satisfied
85332,satisfied,dissatisfied
85352,satisfied,dissatisfied
85355,dissatisfied,satisfied
85371,dissatisfied,satisfied
85374,dissatisfied,satisfied
85416,satisfied,dissatisfied
85422,satisfied,satisfied
85454,satisfied,satisfied
85465,satisfied,satisfied
85469,satisfied,dissatisfied
85470,satisfied,satisfied
85505,satisfied,satisfied
85508,satisfied,satisfied
85509,satisfied,satisfied
85510,satisfied,satisfied
85537,dissatisfied,satisfied
85540,dissatisfied,dissatisfied
85567,dissatisfied,satisfied
85577,satisfied,dissatisfied
85582,satisfied,satisfied
85589,satisfied,dissatisfied
85606,dissatisfied,dissatisfied
85699,satisfied,dissatisfied
85704,dissatisfied,dissatisfied
85746,satisfied,dissatisfied
85778,satisfied,dissatisfied
85790,dissatisfied,dissatisfied
85810,satisfied,satisfied
85812,dissatisfied,dissatisfied
85856,dissatisfied,satisfied
85861,satisfied,satisfied
85863,satisfied,dissatisfied
85880,dissatisfied,dissatisfied
85881,satisfied,dissatisfied
85889,dissatisfied,satisfied
85903,satisfied,dissatisfied
85912,dissatisfied,dissatisfied
85935,dissatisfied,satisfied
85946,dissatisfied,satisfied
85950,dissatisfied,satisfied
85960,satisfied,dissatisfied
85972,dissatisfied,dissatisfied
85974,dissatisfied,dissatisfied
85978,dissatisfied,dissatisfied
86035,dissatisfied,dissatisfied
86041,satisfied,dissatisfied
86068,satisfied,satisfied
86079,dissatisfied,satisfied
86096,dissatisfied,satisfied
86111,satisfied,dissatisfied
86147,dissatisfied,satisfied
86149,satisfied,satisfied
86173,satisfied,dissatisfied
86177,satisfied,satisfied
86228,satisfied,satisfied
86236,satisfied,dissatisfied
86262,satisfied,dissatisfied
86265,dissatisfied,satisfied
86269,satisfied,satisfied
86270,satisfied,dissatisfied
86278,satisfied,dissatisfied
86298,dissatisfied,satisfied
86311,dissatisfied,dissatisfied
86314,dissatisfied,dissatisfied
86319,dissatisfied,dissatisfied
86320,dissatisfied,dissatisfied
86321,satisfied,dissatisfied
86330,dissatisfied,dissatisfied
86353,dissatisfied,dissatisfied
86359,dissatisfied,satisfied
86405,dissatisfied,dissatisfied
86406,satisfied,dissatisfied
86414,dissatisfied,dissatisfied
86443,satisfied,satisfied
86463,satisfied,dissatisfied
86469,satisfied,dissatisfied
86474,satisfied,satisfied
86490,satisfied,satisfied
86527,satisfied,dissatisfied
86531,satisfied,dissatisfied
86558,satisfied,dissatisfied
86566,satisfied,dissatisfied
86567,satisfied,dissatisfied
86570,dissatisfied,dissatisfied
86601,dissatisfied,satisfied
86606,dissatisfied,dissatisfied
86607,satisfied,dissatisfied
86611,satisfied,dissatisfied
86618,satisfied,dissatisfied
86624,dissatisfied,satisfied
86643,satisfied,dissatisfied
86651,dissatisfied,satisfied
86667,dissatisfied,dissatisfied
86675,dissatisfied,dissatisfied
86676,satisfied,dissatisfied
86720,dissatisfied,dissatisfied
86722,satisfied,satisfied
86733,dissatisfied,dissatisfied
86748,satisfied,satisfied
86754,dissatisfied,dissatisfied
86785,dissatisfied,satisfied
86840,satisfied,satisfied
86856,satisfied,satisfied
86877,dissatisfied,dissatisfied
86948,satisfied,dissatisfied
86953,dissatisfied,satisfied
86968,dissatisfied,satisfied
86970,satisfied,satisfied
86983,satisfied,dissatisfied
86986,satisfied,dissatisfied
87011,dissatisfied,satisfied
87017,satisfied,satisfied
87022,dissatisfied,satisfied
87023,satisfied,dissatisfied
87035,dissatisfied,dissatisfied
87036,dissatisfied,dissatisfied
87039,dissatisfied,dissatisfied
87046,satisfied,satisfied
87055,satisfied,dissatisfied
87087,dissatisfied,satisfied
87107,dissatisfied,dissatisfied
87115,satisfied,satisfied
87125,satisfied,satisfied
87126,dissatisfied,satisfied
87128,dissatisfied,satisfied
87146,dissatisfied,satisfied
87147,satisfied,satisfied
87169,satisfied,dissatisfied
87216,satisfied,satisfied
87222,dissatisfied,satisfied
87232,dissatisfied,dissatisfied
87267,satisfied,dissatisfied
87270,satisfied,dissatisfied
87294,satisfied,dissatisfied
87303,satisfied,satisfied
87397,dissatisfied,satisfied
87399,dissatisfied,dissatisfied
87406,satisfied,dissatisfied
87449,dissatisfied,dissatisfied
87453,dissatisfied,satisfied
87465,satisfied,dissatisfied
87468,satisfied,dissatisfied
87481,satisfied,satisfied
87491,satisfied,satisfied
87558,satisfied,dissatisfied
87588,dissatisfied,dissatisfied
87605,dissatisfied,satisfied
87606,dissatisfied,dissatisfied
87634,dissatisfied,satisfied
87646,satisfied,satisfied
87663,dissatisfied,dissatisfied
87683,satisfied,satisfied
87720,dissatisfied,dissatisfied
87737,satisfied,dissatisfied
87760,satisfied,dissatisfied
87762,satisfied,satisfied
87766,satisfied,dissatisfied
87770,satisfied,dissatisfied
87797,dissatisfied,satisfied
87805,satisfied,dissatisfied
87835,satisfied,satisfied
87868,dissatisfied,dissatisfied
87912,satisfied,satisfied
87921,satisfied,dissatisfied
87923,dissatisfied,satisfied
87962,satisfied,satisfied
87964,satisfied,satisfied
87966,dissatisfied,satisfied
87980,satisfied,dissatisfied
87986,satisfied,dissatisfied
88021,satisfied,dissatisfied
88057,dissatisfied,dissatisfied
88083,dissatisfied,satisfied
88084,dissatisfied,satisfied
88089,satisfied,satisfied
88095,satisfied,dissatisfied
88108,dissatisfied,dissatisfied
88154,dissatisfied,dissatisfied
88197,satisfied,dissatisfied
88206,satisfied,dissatisfied
88228,dissatisfied,dissatisfied
88232,satisfied,dissatisfied
88248,satisfied,dissatisfied
88270,dissatisfied,dissatisfied
88271,satisfied,dissatisfied
88289,dissatisfied,dissatisfied
88321,satisfied,dissatisfied
88322,satisfied,dissatisfied
88324,dissatisfied,dissatisfied
88325,satisfied,dissatisfied
88342,dissatisfied,dissatisfied
88356,satisfied,dissatisfied
88375,satisfied,dissatisfied
88384,satisfied,satisfied
88393,satisfied,dissatisfied
88400,dissatisfied,satisfied
88412,dissatisfied,dissatisfied
88428,satisfied,dissatisfied
88433,dissatisfied,dissatisfied
88436,satisfied,satisfied
88476,dissatisfied,dissatisfied
88505,dissatisfied,satisfied
88506,dissatisfied,satisfied
88515,satisfied,dissatisfied
88557,dissatisfied,dissatisfied
88573,satisfied,satisfied
88586,dissatisfied,satisfied
88587,satisfied,dissatisfied
88604,satisfied,satisfied
88605,dissatisfied,dissatisfied
88625,satisfied,dissatisfied
88630,satisfied,satisfied
88642,dissatisfied,dissatisfied
88647,satisfied,dissatisfied
88656,dissatisfied,satisfied
88664,satisfied,satisfied
88665,dissatisfied,satisfied
88670,satisfied,dissatisfied
88678,satisfied,satisfied
88735,dissatisfied,satisfied
88741,satisfied,satisfied
88746,dissatisfied,satisfied
88763,dissatisfied,dissatisfied
88773,satisfied,dissatisfied
88796,dissatisfied,dissatisfied
88801,satisfied,satisfied
88805,dissatisfied,satisfied
88829,satisfied,dissatisfied
88846,dissatisfied,dissatisfied
88853,satisfied,satisfied
88874,satisfied,dissatisfied
88890,dissatisfied,dissatisfied
88916,dissatisfied,satisfied
88936,dissatisfied,dissatisfied
88948,satisfied,satisfied
88953,satisfied,dissatisfied
88954,satisfied,dissatisfied
88996,satisfied,satisfied
89007,satisfied,dissatisfied
89029,satisfied,satisfied
89032,satisfied,dissatisfied
89060,dissatisfied,satisfied
89073,dissatisfied,satisfied
89080,satisfied,satisfied
89081,satisfied,satisfied
89099,dissatisfied,satisfied
89110,satisfied,satisfied
89114,satisfied,dissatisfied
89115,satisfied,dissatisfied
89117,dissatisfied,dissatisfied
89118,dissatisfied,dissatisfied
89119,dissatisfied,dissatisfied
89149,dissatisfied,satisfied
89151,dissatisfied,satisfied
89156,satisfied,dissatisfied
89158,satisfied,satisfied
89180,satisfied,dissatisfied
89186,satisfied,dissatisfied
89222,satisfied,dissatisfied
89259,satisfied,dissatisfied
89263,satisfied,dissatisfied
89294,dissatisfied,dissatisfied
89327,satisfied,dissatisfied
89339,dissatisfied,dissatisfied
89383,satisfied,satisfied
89404,dissatisfied,dissatisfied
89438,dissatisfied,satisfied
89457,satisfied,satisfied
89487,satisfied,satisfied
89528,satisfied,satisfied
89536,satisfied,dissatisfied
89542,dissatisfied,satisfied
89552,dissatisfied,satisfied
89594,satisfied,dissatisfied
89596,satisfied,satisfied
89603,dissatisfied,dissatisfied
89605,satisfied,dissatisfied
89652,satisfied,dissatisfied
89672,satisfied,dissatisfied
89691,satisfied,satisfied
89694,satisfied,dissatisfied
89696,satisfied,satisfied
89699,satisfied,satisfied
89703,dissatisfied,satisfied
89729,dissatisfied,satisfied
89755,satisfied,dissatisfied
89767,satisfied,satisfied
89768,dissatisfied,dissatisfied
89803,dissatisfied,dissatisfied
89901,satisfied,dissatisfied
89966,dissatisfied,dissatisfied
89967,satisfied,satisfied
89979,dissatisfied,dissatisfied
90032,satisfied,dissatisfied
90038,dissatisfied,dissatisfied
90039,satisfied,dissatisfied
90065,satisfied,satisfied
90066,satisfied,dissatisfied
90068,satisfied,dissatisfied
90074,satisfied,dissatisfied
90101,satisfied,satisfied
90108,dissatisfied,dissatisfied
90111,dissatisfied,dissatisfied
90136,satisfied,satisfied
90142,satisfied,satisfied
90149,dissatisfied,satisfied
90164,satisfied,dissatisfied
90171,satisfied,satisfied
90175,satisfied,satisfied
90184,satisfied,dissatisfied
90188,satisfied,satisfied
90198,satisfied,dissatisfied
90202,dissatisfied,dissatisfied
90203,dissatisfied,dissatisfied
90215,satisfied,satisfied
90218,satisfied,dissatisfied
90226,satisfied,dissatisfied
90252,satisfied,satisfied
90258,satisfied,satisfied
90263,satisfied,satisfied
90279,dissatisfied,dissatisfied
90300,dissatisfied,dissatisfied
90313,satisfied,satisfied
90316,satisfied,satisfied
90317,dissatisfied,satisfied
90352,dissatisfied,satisfied
90366,satisfied,dissatisfied
90464,dissatisfied,satisfied
90468,dissatisfied,dissatisfied
90470,satisfied,dissatisfied
90483,satisfied,dissatisfied
90490,dissatisfied,dissatisfied
90511,satisfied,dissatisfied
90533,satisfied,dissatisfied
90536,dissatisfied,dissatisfied
90565,dissatisfied,satisfied
90580,dissatisfied,dissatisfied
90581,dissatisfied,dissatisfied
90592,dissatisfied,dissatisfied
90599,dissatisfied,satisfied
90607,satisfied,satisfied
90678,satisfied,dissatisfied
90679,dissatisfied,satisfied
90688,satisfied,dissatisfied
90693,satisfied,satisfied
90714,dissatisfied,dissatisfied
90719,dissatisfied,dissatisfied
90733,satisfied,dissatisfied
90761,dissatisfied,dissatisfied
90772,satisfied,satisfied
90778,dissatisfied,dissatisfied
90782,satisfied,satisfied
90802,satisfied,satisfied
90807,satisfied,satisfied
90813,satisfied,satisfied
90859,satisfied,dissatisfied
90900,satisfied,dissatisfied
90916,dissatisfied,dissatisfied
90917,dissatisfied,dissatisfied
90920,dissatisfied,dissatisfied
90935,satisfied,satisfied
90996,satisfied,dissatisfied
91010,satisfied,dissatisfied
91064,dissatisfied,satisfied
91083,dissatisfied,satisfied
91091,satisfied,dissatisfied
91094,satisfied,satisfied
91158,dissatisfied,dissatisfied
91169,satisfied,dissatisfied
91176,satisfied,satisfied
91183,satisfied,dissatisfied
91221,satisfied,dissatisfied
91270,dissatisfied,satisfied
91281,satisfied,satisfied
91310,satisfied,dissatisfied
91321,satisfied,satisfied
91336,dissatisfied,dissatisfied
91344,satisfied,satisfied
91353,satisfied,satisfied
91361,dissatisfied,satisfied
91386,satisfied,satisfied
91388,satisfied,dissatisfied
91390,satisfied,satisfied
91395,satisfied,dissatisfied
91418,satisfied,satisfied
91419,satisfied,satisfied
91422,dissatisfied,satisfied
91425,satisfied,satisfied
91460,satisfied,dissatisfied
91462,dissatisfied,dissatisfied
91487,satisfied,dissatisfied
91529,satisfied,satisfied
91531,satisfied,dissatisfied
91569,satisfied,dissatisfied
91573,satisfied,satisfied
91656,satisfied,satisfied
91666,dissatisfied,satisfied
91675,satisfied,satisfied
91680,satisfied,dissatisfied
91718,satisfied,dissatisfied
91724,dissatisfied,dissatisfied
91735,satisfied,satisfied
91738,dissatisfied,satisfied
91777,satisfied,dissatisfied
91814,satisfied,dissatisfied
91841,satisfied,dissatisfied
91842,satisfied,satisfied
91875,satisfied,satisfied
91886,dissatisfied,dissatisfied
91913,satisfied,satisfied
91926,dissatisfied,dissatisfied
91956,dissatisfied,dissatisfied
91983,satisfied,satisfied
92019,satisfied,dissatisfied
92034,dissatisfied,dissatisfied
92038,dissatisfied,dissatisfied
92055,satisfied,satisfied
92097,dissatisfied,dissatisfied
92112,satisfied,dissatisfied
92116,satisfied,dissatisfied
92130,dissatisfied,satisfied
92160,satisfied,satisfied
92213,satisfied,dissatisfied
92217,satisfied,dissatisfied
92245,satisfied,satisfied
92246,satisfied,dissatisfied
92280,dissatisfied,dissatisfied
92306,dissatisfied,dissatisfied
92313,dissatisfied,satisfied
92314,dissatisfied,dissatisfied
92329,satisfied,satisfied
92330,satisfied,dissatisfied
92332,satisfied,satisfied
92367,satisfied,satisfied
92377,satisfied,dissatisfied
92399,satisfied,dissatisfied
92471,dissatisfied,dissatisfied
92519,satisfied,dissatisfied
92530,satisfied,dissatisfied
92538,satisfied,satisfied
92543,dissatisfied,satisfied
92558,dissatisfied,dissatisfied
92564,satisfied,satisfied
92576,satisfied,dissatisfied
92580,satisfied,dissatisfied
92615,satisfied,dissatisfied
92629,satisfied,dissatisfied
92673,dissatisfied,dissatisfied
92680,satisfied,satisfied
92718,satisfied,satisfied
92728,dissatisfied,dissatisfied
92734,satisfied,dissatisfied
92811,dissatisfied,satisfied
92838,dissatisfied,satisfied
92850,satisfied,dissatisfied
92894,satisfied,satisfied
92902,satisfied,dissatisfied
92962,dissatisfied,dissatisfied
92995,dissatisfied,dissatisfied
92999,satisfied,dissatisfied
93000,satisfied,dissatisfied
93023,satisfied,dissatisfied
93024,satisfied,dissatisfied
93027,satisfied,dissatisfied
93032,dissatisfied,dissatisfied
93060,satisfied,satisfied
93075,satisfied,dissatisfied
93083,satisfied,satisfied
93099,dissatisfied,dissatisfied
93106,satisfied,dissatisfied
93136,dissatisfied,dissatisfied
93138,dissatisfied,dissatisfied
93150,dissatisfied,dissatisfied
93152,dissatisfied,satisfied
93178,dissatisfied,dissatisfied
93186,satisfied,satisfied
93194,satisfied,dissatisfied
93196,dissatisfied,satisfied
93221,dissatisfied,dissatisfied
93265,satisfied,dissatisfied
93297,satisfied,dissatisfied
93317,dissatisfied,satisfied
93320,satisfied,dissatisfied
93324,satisfied,dissatisfied
93328,satisfied,dissatisfied
93333,satisfied,dissatisfied
93346,satisfied,dissatisfied
93371,dissatisfied,satisfied
93378,satisfied,dissatisfied
93411,satisfied,dissatisfied
93421,satisfied,dissatisfied
93423,dissatisfied,dissatisfied
93467,dissatisfied,dissatisfied
93481,satisfied,dissatisfied
93492,dissatisfied,dissatisfied
93503,satisfied,satisfied
93505,dissatisfied,satisfied
93543,satisfied,dissatisfied
93558,dissatisfied,satisfied
93562,satisfied,satisfied
93621,dissatisfied,dissatisfied
93653,dissatisfied,satisfied
93658,satisfied,satisfied
93680,satisfied,dissatisfied
93706,dissatisfied,dissatisfied
93725,satisfied,satisfied
93748,dissatisfied,dissatisfied
93751,dissatisfied,dissatisfied
93756,dissatisfied,satisfied
93788,satisfied,satisfied
93790,satisfied,satisfied
93819,satisfied,satisfied
93846,dissatisfied,dissatisfied
93924,satisfied,dissatisfied
93926,dissatisfied,dissatisfied
93957,dissatisfied,satisfied
93961,dissatisfied,dissatisfied
93968,dissatisfied,satisfied
93972,dissatisfied,dissatisfied
93974,satisfied,satisfied
93982,satisfied,dissatisfied
93986,dissatisfied,dissatisfied
94013,dissatisfied,satisfied
94020,satisfied,satisfied
94063,dissatisfied,dissatisfied
94080,dissatisfied,dissatisfied
94086,satisfied,satisfied
94087,dissatisfied,satisfied
94124,satisfied,satisfied
94129,dissatisfied,dissatisfied
94132,satisfied,dissatisfied
94173,satisfied,dissatisfied
94218,dissatisfied,dissatisfied
94234,satisfied,satisfied
94235,dissatisfied,dissatisfied
94236,satisfied,dissatisfied
94251,dissatisfied,dissatisfied
94297,satisfied,satisfied
94310,satisfied,dissatisfied
94322,dissatisfied,satisfied
94323,satisfied,satisfied
94328,satisfied,dissatisfied
94329,satisfied,dissatisfied
94344,satisfied,dissatisfied
94393,dissatisfied,dissatisfied
94420,dissatisfied,dissatisfied
94427,satisfied,satisfied
94450,satisfied,dissatisfied
94464,dissatisfied,dissatisfied
94479,satisfied,dissatisfied
94506,dissatisfied,satisfied
94527,dissatisfied,dissatisfied
94539,satisfied,satisfied
94560,dissatisfied,satisfied
94574,satisfied,dissatisfied
94581,dissatisfied,satisfied
94588,dissatisfied,satisfied
94611,satisfied,satisfied
94631,dissatisfied,satisfied
94641,satisfied,satisfied
94646,satisfied,dissatisfied
94648,dissatisfied,satisfied
94667,satisfied,satisfied
94668,dissatisfied,satisfied
94670,dissatisfied,dissatisfied
94674,dissatisfied,dissatisfied
94676,dissatisfied,satisfied
94686,dissatisfied,dissatisfied
94749,dissatisfied,dissatisfied
94759,dissatisfied,satisfied
94767,satisfied,dissatisfied
94776,satisfied,dissatisfied
94790,satisfied,dissatisfied
94815,satisfied,dissatisfied
94839,dissatisfied,dissatisfied
94850,satisfied,dissatisfied
94893,dissatisfied,satisfied
94911,dissatisfied,dissatisfied
94922,satisfied,dissatisfied
94977,satisfied,dissatisfied
94997,dissatisfied,satisfied
95018,dissatisfied,satisfied
95029,dissatisfied,dissatisfied
95052,dissatisfied,dissatisfied
95066,satisfied,dissatisfied
95090,dissatisfied,satisfied
95153,satisfied,dissatisfied
95172,dissatisfied,satisfied
95253,dissatisfied,satisfied
95331,satisfied,dissatisfied
95370,satisfied,dissatisfied
95378,dissatisfied,satisfied
95438,dissatisfied,dissatisfied
95441,satisfied,dissatisfied
95487,dissatisfied,dissatisfied
95490,satisfied,satisfied
95498,satisfied,dissatisfied
95500,dissatisfied,dissatisfied
95510,dissatisfied,satisfied
95520,satisfied,dissatisfied
95535,dissatisfied,satisfied
95543,satisfied,dissatisfied
95581,dissatisfied,dissatisfied
95631,dissatisfied,dissatisfied
95647,satisfied,satisfied
95648,satisfied,dissatisfied
95650,satisfied,dissatisfied
95664,satisfied,dissatisfied
95665,dissatisfied,dissatisfied
95726,satisfied,satisfied
95765,satisfied,dissatisfied
95768,satisfied,satisfied
95789,satisfied,dissatisfied
95790,satisfied,satisfied
95801,dissatisfied,dissatisfied
95835,dissatisfied,dissatisfied
95846,dissatisfied,dissatisfied
95869,satisfied,dissatisfied
95882,satisfied,satisfied
95900,dissatisfied,dissatisfied
95908,satisfied,satisfied
96008,satisfied,dissatisfied
96009,satisfied,dissatisfied
96010,satisfied,dissatisfied
96047,dissatisfied,dissatisfied
96055,dissatisfied,dissatisfied
96056,satisfied,dissatisfied
96058,satisfied,dissatisfied
96082,dissatisfied,dissatisfied
96084,satisfied,dissatisfied
96105,satisfied,dissatisfied
96110,satisfied,dissatisfied
96127,dissatisfied,dissatisfied
96130,satisfied,dissatisfied
96137,dissatisfied,dissatisfied
96212,dissatisfied,satisfied
96251,satisfied,satisfied
96257,satisfied,dissatisfied
96262,satisfied,dissatisfied
96291,satisfied,satisfied
96337,satisfied,dissatisfied
96359,satisfied,satisfied
96371,satisfied,dissatisfied
96396,satisfied,dissatisfied
96472,dissatisfied,dissatisfied
96523,satisfied,satisfied
96528,dissatisfied,satisfied
96532,dissatisfied,satisfied
96545,satisfied,dissatisfied
96546,satisfied,dissatisfied
96565,dissatisfied,dissatisfied
96593,satisfied,dissatisfied
96595,satisfied,dissatisfied
96610,dissatisfied,dissatisfied
96617,satisfied,dissatisfied
96659,dissatisfied,satisfied
96666,satisfied,dissatisfied
96672,satisfied,satisfied
96690,satisfied,satisfied
96718,satisfied,dissatisfied
96720,satisfied,dissatisfied
96759,satisfied,satisfied
96761,satisfied,satisfied
96834,dissatisfied,dissatisfied
96889,satisfied,dissatisfied
96895,dissatisfied,dissatisfied
96899,dissatisfied,dissatisfied
96917,satisfied,dissatisfied
96942,satisfied,dissatisfied
97026,dissatisfied,dissatisfied
97056,dissatisfied,dissatisfied
97060,satisfied,satisfied
97075,dissatisfied,dissatisfied
97084,satisfied,dissatisfied
97100,satisfied,dissatisfied
97159,satisfied,dissatisfied
97160,satisfied,dissatisfied
97168,satisfied,dissatisfied
97219,satisfied,satisfied
97247,satisfied,dissatisfied
97332,satisfied,satisfied
97356,dissatisfied,satisfied
97375,satisfied,dissatisfied
97388,satisfied,dissatisfied
97389,satisfied,dissatisfied
97390,satisfied,dissatisfied
97395,dissatisfied,dissatisfied
97403,dissatisfied,satisfied
97431,dissatisfied,satisfied
97434,satisfied,satisfied
97442,satisfied,dissatisfied
97443,dissatisfied,satisfied
97456,satisfied,satisfied
97459,satisfied,satisfied
97462,satisfied,dissatisfied
97500,satisfied,satisfied
97510,dissatisfied,dissatisfied
97531,satisfied,satisfied
97533,satisfied,dissatisfied
97544,dissatisfied,dissatisfied
97546,satisfied,satisfied
97588,dissatisfied,dissatisfied
97613,satisfied,dissatisfied
97617,dissatisfied,satisfied
97621,satisfied,dissatisfied
97623,satisfied,satisfied
